global_id,Name,AdmArea,District,Address,Photo,Capacity,DepartmentalAffiliation,ObjectOperOrgName,ObjectOperOrgPhone,Longitude,Latitude
2758316,Велосипедная парковка № 15008 «метро Печатники» (2),Юго-Восточный административный округ,Печатники,"улица Гурьянова, владение 2, строение 3",f25d144a-a510-4f11-9418-e7c704351323,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.725492,55.693736
2758328,Велосипедная парковка № 17008 «метро Дмитровская» (1),Северо-Восточный административный округ,Бутырский,"Бутырская улица, дом 97",53720b9f-9faa-48f2-82f7-6eeeaab512ba,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.579443,55.808215
2758345,Велосипедная парковка № 18004 «метро Войковская » (2),Северный административный округ,Войковский,"2-й Войковский проезд, дом 2/11",a33cdd78-e1d4-4b57-a1e5-b786ef4e02c6,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.497969,55.817890
2758353,Велосипедная парковка № 18015 «метро Речной вокзал » (3),Северный административный округ,Левобережный,"Фестивальная улица, дом 2б",44a00f53-7755-4f8e-b190-bc93970831b4,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.476985,55.854640
2758354,Велосипедная парковка № 18015 «метро Речной вокзал » (4),Северный административный округ,Левобережный,"Фестивальная улица, дом 2б",331e63a5-2c77-4a88-bab8-4220d0f5a6b5,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.476985,55.854640
2758361,Велосипедная парковка № 18002 «метро Беговая» (1),Северный административный округ,Хорошёвский,"Хорошевское шоссе, дом 1б, строение 1",e78dd4a9-1f54-40cd-a52e-e8890b807fcd,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.544385,55.774038
2758380,Велосипедная парковка № 19010 «метро Щукинская» (2),Северо-Западный административный округ,Щукино,"улица Маршала Василевского, дом 17",3c1fd56d-bb89-4ce2-87b2-04c35a2b9136,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.462822,55.809068
2758427,Велосипедная парковка № 14003 «метро Варшавская» (2),Южный административный округ,Нагорный,"Чонгарский бульвар, дом 1, строение 1",7f343d32-1248-47f5-ad7e-c4ea6b1f527f,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.618801,55.653697
2758432,Велосипедная парковка № 14010 «метро Нагорная» (2),Южный административный округ,Нагорный,"Электролитный проезд, дом 7а, строение 18",813b2735-5dd9-4dc4-b9fa-09bc49e7a906,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.610257,55.673058
2758458,Велосипедная парковка № 18007 «платформа Бескудниково»,Северный административный округ,Войковский,"Путевой проезд, дом 9г, строение 1",15bbb675-a11b-410b-9c39-22e326510295,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.570341,55.882047
2758467,Велосипедная парковка № 19007 «метро Строгино» (3),Северо-Западный административный округ,Строгино,"Строгинский бульвар, дом 14, корпус 3",35e8fb54-359e-4906-9fc1-8071985f8781,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.400894,55.803220
2758468,Велосипедная парковка № 19007 «метро Строгино» (4),Северо-Западный административный округ,Строгино,"Строгинский бульвар, дом 14, корпус 3",bde4129e-2ddc-4054-86fc-004e91b2fe52,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.401054,55.805196
14020464,Велосипедная парковка № 14008 «Перехватывающая парковка у метро Красногвардейская» (1),Южный административный округ,Зябликово,«Перехватывающая парковка у метро Красногвардейская»,979ce0cb-7f48-4c8e-8138-84af06f9da05,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.737012,55.613563
